Cliente	Documento	Email	Fone	Cidade	Bairro
Auto Peças Padap Ltda- ME - SG	19.823.971/0001-60	autopecas.padap@hotmail.com	3499307879	São Gotardo	Zona Rural
Auto Peças Silva	24.687.295/0003-46	matriz@autopecassilva.com.br	3436716299	São Gotardo	Guarda dos Ferreiros
Auto Peças Silva	24.687.295/0001-84	matriz@autopecassilva.com.br	3436711321	São Gotardo	Jardim das Flores
Auto Pinturas Lino LTDA SG	18.508.770/0001-05	chinessg@hotmail.com	3499517001	São Gotardo	Santa Terezinha
Autus Comercial Distribuidora Ltda SG	00.982.872/0008-79	sayonara.oliveira@autus.com.br	3432308009	São Gotardo	Santa Terezinha
Beneficiadora de Batatas SG Ltda	06.256.925/0001-84	serginhobsg@hotmail.com	3436716144	São Gotardo	Centro
Bomtempo Tintas Ltda	13.806.094/0001-32	planaltotintasfilial@hotmail.com	3436711974	São Gotardo	Sol Nascente
Bora Serviços e Transportes LTDA - ME	14.355.450/0001-01	bora_ltda@hotmail.com	34998323207	São Gotardo	Guarda dos Ferreiros
Borracharia 03 Irmãos	28.693.573/0001-67	danieloliveira.sgg@gmail.com	34998063471	São Gotardo	Guarda dos Ferreiros
Borracharia São Geraldo	08.106.219/0001-81	marcia.sg.68@hotmail.com	34988266200	São Gotardo	Nossa Senhora de Fátima
Bosco e Pereira Serviços Ltda	11.196.354/0001-70	tramaqsg@hotmail.com	3436713159	São Gotardo	Zona Rural
CAD Central Atacadista de Distribuição Ltda	17.125.338/0001-72	zealvesborges@gmail.com	3436716450	São Gotardo	Zona Rural
COMAQ Prestação de Serviços de Terra Planagem LTDA	09.489.955/0001-29	comaqterraplenagem@yahoo.com.br	34991999992	São Gotardo	São Geraldo
CVO Engenharia e Construção LTDA - ME	22.771.599/0001-08	cvoengenharia@gmail.com	34998299310	São Gotardo	Nossa Senhora de Fátima
Café São Gotardo Ltda	10.556.925/0001-77	contasapagar@cafesaogotardo.com.br	3436716385	São Gotardo	Zona Rural
Caixa Escolar Coronel Fonte Boa	06.308.529/0001-53	escola.318531@educacao.mg.gov.br	3436711594	São Gotardo	Centro
Caixa Escolar Doutor Jaques Luciano Pereira	19.923.101/0001-62	escola.119628@educacao.mg.gov.br	34999061601	São Gotardo	Guarda dos Ferreiros
Caixa Escolar Juquinha Carneiro SG	20.058.392/0001-57	escola.119598@educacao.mg.gov.br	3436712343	São Gotardo	Campestre
Caixa Escolar Padre Sinfronio Bahia AV	20.055.208/0001-15	escola.119571@educacao.mg.gov.br	3436719131	São Gotardo	Abaeté dos Venâncios
Caixa Escolar Pedro Ferreira da Costa SG	19.464.296/0001-20	dorafer41@gmail.com	3436711419	São Gotardo	Alto Bela Vista
Camara Municipal de São Gotardo MG	20.750.865/0001-82	gizele.camarasg@gmail.com	3436711718	São Gotardo	Centro
Camila Leonora de Oliveira GF	33.472.633/0001-51	cantimmineirogf@hotmail.com	3436711865	São Gotardo	Guarda dos Ferreiros
Carlos Andre Pereira Gomes 04231633614	29.168.273/0001-21	carlos061077@gmail.com	34999528232	São Gotardo	Alto Bela Vista
Carlos Eduardo Borges Pereira	24.965.319/0001-10	borgesjv3151@hotmail.com	34984034481	São Gotardo	Centro
Carlos Fernando Garcia ME SG	10.734.977/0001-96	teste@teste.com.br	3488587089	São Gotardo	Santa Terezinha
Cartorio 2° Oficio de notas SG	20.045.183/0001-79	teste@teste.com.br	34000000000	São Gotardo	Centro
Cartorio de Paz e Notas	20.045.266/0001-68	cartoriodonoe@gmail.com	3436716161	São Gotardo	Guarda dos Ferreiros
Cartão Saúde New Life Ltda	32.844.843/0002-41	josecarlosjunior40@hotmail.com	64981388787	São Gotardo	Centro
Cartório de Paz e Notas	20.045.266/0001-68	cartoriodonoe@gmail.com	3436716161	São Gotardo	Guarda dos Ferreiros
Castelhone e Silva Ltda	02.019.544/0001-20	psilva@realtec.com.br	3436712394	São Gotardo	Nossa Senhora de Fátima
Celso Roberto de Almeida Junior SG	11.986.790/0001-42	teste@teste.com.br	3400000000	São Gotardo	Centro
Celtre Comercial Eletrica Trevo LTDA	03.664.918/0001-23	celtreeletrica@yahoo.com.br	3436712488	São Gotardo	São Vicente
Centro de Ensino Superior de São Gotardo SG	03.745.000/0001-09	financeirocesg2018@outlook.com	3436717020	São Gotardo	Boa Esperança
Centro de Formação de Condutores Colibri Eireli	03.753.807/0001-93	supermercadocampestreltda_sg@hotmail.com	38988679432	São Gotardo	Vila Luciana
Centro de Formação de Condutores de São Gotardo	03.719.917/0002-10	alineautoescolasg@gmail.com	34999569533	São Gotardo	Guarda dos Ferreiros
Ceres Beneficiadora Ltda	10.721.957/0001-80	carlos.duarte1975@bol.com.br	34991670123	São Gotardo	Centro
Cerrado Transporte LTDA. SG	13.338.815/0001-27	cerradotransportes@hotmail.com	3499329099	São Gotardo	Centro
Cerragri Ltda	04.196.998/0001-00	claudilena@cerragri.com.br	3436716276	São Gotardo	Centro
Claudia Abadia Martins de Avila -ME	28.689.337/0001-77	teste@teste.com	34988941921	São Gotardo	Jardim Ana Paula
Claudiene Lopes da Silva ME	22.507.379/0001-63	impactomaquinas_wc@hotmail.com	34999069927	São Gotardo	Sol Nascente
Clima Ar Serviços de Climatização LTDA	24.866.026/0001-85	admsg@climatizaar.com.br	34999544543	São Gotardo	Centro
Clube Campestre de São Gotardo SG	24.687.733/0001-04	contato@clubesg.com.br	3488323388	São Gotardo	Campestre
Clínica Guimarães e Sousa	09.407.864/0001-05	clinicadetran345@gmail.com	3436715838	São Gotardo	Centro
Colegio Equipe SG	29.878.357/0001-59	ceciliagamaequipatos@hotmail.com	34988497036	São Gotardo	Centro
Colégio SG de Ensino Fundamental Ltda.	06.980.292/0001-52	silvanasgdimensao@hotmail.com	3436711084	São Gotardo	Centro
Comercial Lopes e Correia LTDA	05.561.993/0001-94	comerciallopesecorreia@yahoo.com.br	34988660010	São Gotardo	Nossa Senhora de Fátima
Companhia do Churrasco Eireli	29.138.630/0001-09	fernandociadochurrasco1@gmail.com	3436710267	São Gotardo	Nossa Senhora Aparecida
Conceição Jacqueline Xavier SG (SPC/SERASA)	18.985.961/0001-68	cjacqxavier@gmail.com	3492577325	São Gotardo	Centro
Concreara Concretos e Argamassas LTDA	07.123.403/0002-58	concrearasg@hotmail.com	3436716484	São Gotardo	Guarda dos Ferreiros
Concreara Concretos e Argamassas LTDA GF	07.123.403/0002-58	concrearasg@hotmail.com	3400000000	São Gotardo	Guarda dos Ferreiros
Condominio Residencial Campestre	10.282.565/0001-62	mfcontabilidademg@hotmail.com	3436713490	São Gotardo	Campestre
Conserta Smart SG	23.112.104/0001-93	saogotardo@consertasmart.com	34999522704	São Gotardo	Nossa Senhora de Fátima
Construtora Sanesul Eireli	07.827.899/0001-60	compras.sanesul@gmail.com	3536211071	São Gotardo	Tancredo Neves
Consutoria Contabilidade.SG	10.559.717/0001-21	dirceu@llecontabilidade.com.br	3400000000	São Gotardo	Centro
Conta Certa Processametos LTDA	05.974.628/0001-01	ccertaprocessamentos@hotmail.com	3436712612	São Gotardo	Centro
Contacto Eletrica - ME	23.227.432/0001-35	contactoeletrica2018@gmail.com	3436711715	São Gotardo	Jardim das Flores
Cooperativa Agropecuaria do Alto Paranaiba	86.675.642/0001-06	teste@teste.com.br	34000000000	São Gotardo	Centro
Cooperativa de Agronegocios do Cerrado Brasileiro Ltda.	08.912.901/0001-61	xml@coopacer.com.br	3498134398	São Gotardo	Zona Rural
Cooperativa de Agronegócios do Cerrado Brasileiro LTDA	08.912.901/0002-42	xml@coopacer.com.br	3436715936	São Gotardo	Campestre
Cooperativa de Crédito da Microrregiao do Alto Paranaiba Ltda	03.645.752/0002-89	contabilidade@sicoobcredisg.com.br	3436161500	São Gotardo	Guarda dos Ferreiros
Cooperativa de Crédito da Microrregião do Alto Paranaiba SG	03.645.752/0001-06	contabilidade@sicoobcredisg.com.br	3436161500	São Gotardo	Centro
Correa e Camargos Supermercado	30.178.643/0001-90	supercorreacamargos1@hotmail.com	3436716498	São Gotardo	Guarda dos Ferreiros
Cozinha da Terra LTDA SG	17.837.469/0001-82	cozinhadaterra14@hotmail.com	3436712920	São Gotardo	Centro
Cristiane Daniela de Oliveira - ME	11.370.553/0001-52	espaco.cris@yahoo.com.br	3436717899	São Gotardo	Centro
Cristiane Helena Albertino ME	10.962.508/0001-24	crisalbertino@hotmail.com	34988634858	São Gotardo	Nossa Senhora de Fátima
Dalgiza de Fatima Pereira	12.314.515/0001-45	ferrovelhopatureba@hotmail.com	3436712992	São Gotardo	Santa Terezinha
Debora Taciana da Silva	02.234.943/0014-29	frutpres.2014@gmail.com	34999937988	São Gotardo	São Vicente de Paula
Despachante Oficial Ltda SG	27.291.330/0001-30	fabianodespachante@yahoo.com.br	34999039999	São Gotardo	Centro
Dezio Auto Peças	04.677.793/0001-39	lucas.braim@hotmail.com	3436716662	São Gotardo	Guarda dos Ferreiros
Difere Eficiência Energética LTDA	28.051.822/0001-10	contato@difereenergia.com.br	3436712995	São Gotardo	Sol Nascente
Dipam Distribuidora Patense de Automoveis LTDA	23.349.079/0003-28	cpd@dipam.com.br	3436716645	São Gotardo	Nossa Senhora de Fátima
Drogarabello Ltda - ME	05.727.071/0001-04	farmaxsg@hotmail.com	34999812417	São Gotardo	Guarda dos Ferreiros
Drogaria Araújo e Rabello Ltda - ME	10.624.688/0001-34	drogariamartins2012@hotmail.com	3436716466	São Gotardo	Guarda dos Ferreiros
Drogaria Costa e Silva Ltda	13.727.443/0001-20	denisi_luciana@hotmail.com	34991649474	São Gotardo	Guarda dos Ferreiros
Drogaria Costa e Silva Ltda GF	13.727.443/0001-20	denisi_ls@hotmail.com	3491649474	São Gotardo	Guarda dos Ferreiros
Drogaria Economica ME	27.906.008/0001-78	drogariaeconomicasg@gmail.com	34999869932	São Gotardo	Sol Nascente
Drogaria Fortes.SG	09.373.623/0001-84	drogaria.mm@hotmail.com	34000000000	São Gotardo	Boa Esperança
Drogaria Marques SG	05.727.071/0001-04	teste@teste.com.br	34000000000	São Gotardo	Tancredo Neves
Drogaria Miura SG	03.085.411/0001-15	drogariamiura@gmail.com	3436713015	São Gotardo	Campestre
Drogaria Rabelo e Santos Ltda	12.321.843/0001-79	entrefarmapapagaio@gmail.com	34991226806	São Gotardo	Alto Bela Vista
EB Eventos Ltda - ME	10.678.726/0001-31	rodeiobarbosa@hotmail.com	3436714204	São Gotardo	Agrovila
EB Eventos Ltda - ME	10.678.726/0001-31	financeiro@construeb.com.br	3436714204	São Gotardo	Nossa Senhora de Fátima
EG Construções	27.139.772/0001-65	egcontrucao@gmail.com	3436716749	São Gotardo	Guarda dos Ferreiros
Eduardo Henrique Barbosa	29.683.132/0001-47	supermercadoparanaiba3@hotmail.com	34999353078	São Gotardo	Nossa Senhora de Fátima
Elcio Eduardo Urbano Junior e Outros SG	15.211.723/0001-07	financeirobsc@hotmail.com	3436713291	São Gotardo	Centro
Eleiçao 2012 Comite Financeiro MG Unico TSL Sao Gotardo	16.533.776/0001-07	teste@teste.com.br	34000000000	São Gotardo	Centro
Eleiçoes 2016 Seiji Eduardo Sekita Prefeito SG	25.656.910/0001-58	fernandosekita@gmail.com	34991448438	São Gotardo	Tancredo Neves
Eleição 2016 Claudionor Anicesio dos Santos Prefeito SG	25.938.368/0001-26	andreanicesioadv@hotmail.com	34991650325	São Gotardo	Centro
Eletro Força Motores Ltda ME	15.344.457/0001-90	eletroforcamotores@gmail.com	34999899539	São Gotardo	Agrovila
Eletroligas Ltda.	17.785.304/0001-04	danilogoncalves@eletroligas.com.br	34991959771	São Gotardo	Zona Rural
Eletrotecnica Motores Ltda	09.597.081/0001-23	eletrotecnica.sg@hotmail.com	3436712861	São Gotardo	Santa Terezinha
Elio Ferreira da Silva  SG	17.757.255/0001-04	cecela_015@hotmail.com	3498091444	São Gotardo	Geraldo Marques
Ellus Informática	09.597.101/0001-66	teste@teste.com.br	34000000000	São Gotardo	Serra Negra
Empreendimentos Pio XII	24.683.708/0001-52	escritoriopio12@yahoo.com.br	3436711122	São Gotardo	Centro
Emprefaz Pavimentação Cons. E Saneamento.SG	05.008.064/0001-52	emprefazconstrutora@ibest.com.br	3491911165	São Gotardo	Nossa Senhora de Fátima
Eneias Ribeiro GF	17.844.528/0001-40	teste@teste.com.br	3499285886	São Gotardo	Distrito Industrial
Ermaq Ind. e Com. de Maquinas Agrícolas Ltda	09.335.238/0001-42	ermaq_financeiro@hotmail.com	3436716386	São Gotardo	Zona Rural
Espaço Rural Ltda	16.842.699/0001-77	espaco.rural@hotmail.com	34988294138	São Gotardo	Sol Nascente
F & X Comercio de Veiculos Ltda SG	13.921.402/0001-70	multicarveiculossg@hotmail.com	3436713401	São Gotardo	Jardim Ana Paula
Ferreira e Dias Ltda	19.348.762/0001-01	ferreiraediasltda@gmail.com	34991251910	São Gotardo	Nossa Senhora de Fátima
Fertilab Laboratorio de Analises Quimicas e Fertilidade de Solo Ltda	11.973.979/0001-09	financeiro@fertilab.com.br	34988076517	São Gotardo	Guarda dos Ferreiros
Fertilab Laboratorio de Analises Quimicas e Fertilidade do Solo Ltda  GF	11.973.979/0001-09	financeiro@fertilab.com.br	3488076517	São Gotardo	Zona Rural
Flexpipe Hidraulica e Pneumatica	22.730.871/0001-01	otlevira@yahoo.com.br	34991580821	São Gotardo	Guarda dos Ferreiros
Flexpipe Hidraulica e Pneumatica GF	22.730.871/0001-01	a.martins@flexipipe.com.br	3491580821	São Gotardo	Zona Rural
Fomenge Engenharia Ltda	86.384.963/0001-51	compras@fomenge.com.br	3438149990	São Gotardo	São Vicente
Fort Maquinas	31.202.325/0001-80	impactomaquinas_wc@hotmail.com	34999559927	São Gotardo	Agrovila
Franca e Borges Laboratorio de Analises Clinicas SG	11.118.070/0002-46	labsaolucassg@hotmail.com	34991130434	São Gotardo	São Vicente
Freemarket Administradora e Corretora de Seguros LTDA	05.872.081/0001-33	jonathan@freemarketseguros.com.br	3436710349	São Gotardo	Campestre
Frisago - Frigorifico São Gotardo	08.484.096/0001-12	frisagomgsg@outlook.com	3436717669	São Gotardo	Sol Nascente
Funchal Armazens Gerais Ltda SG	66.398.298/0004-90	armazens@grupofunchal.com.br	3132917055	São Gotardo	Guarda dos Ferreiros
Funchal Armazens Gerais Ltda SG	66.398.298/0004-90	armazens@grupofunchal.com.br	3132917055	São Gotardo	Zona Rural
Fundação educativa e Cultural de São Gotardo	03.749.433/0001-32	Sem EMAIL	34999035733	São Gotardo	Centro
Funeraria Matucuma Ltda SG	01.452.171/0003-86	elida@minasprev.com	34991894371	São Gotardo	São Vicente
Futurista Ensino Tecnico Profissionalizante SG	18.290.427/0001-37	futuristasg@yahoo.com.br	34999204156	São Gotardo	Centro
Gabriele Ferreira Ricaaccacio 40058879889	31.758.845/0001-74	gabrieleturismo@gmail.com	34999050101	São Gotardo	Nossa Senhora de Fátima
Getulio Cesar Pires ME Agro GP Representaçoes	20.009.059/0001-58	agrogp.sg@gmail.com	3499581431	São Gotardo	Campestre
Gislaine Catia Ribeiro	28.784.997/0001-37	gislainecatia.ribeiro@hotmail.com	3436716150	São Gotardo	Guarda dos Ferreiros
Global Telefonia Ltda - MR SG	10.319.064/0002-94	financeiro@revendasglobal.com.br	34999170300	São Gotardo	Centro
Godiva Gotardo Distribuidora de Veiculos Ltda	20.019.626/0001-57	tesouraria1@godivavw.com.br	3491138529	São Gotardo	Santa Terezinha
Goiauto Centro Automotivo Eireli	14.456.614/0002-78	goiautoautopecasfilial@hotmail.com	3436716672	São Gotardo	Guarda dos Ferreiros
Gold Telecom Ltda	10.822.045/0001-03	sgtelefonia2@gmail.com	3400000000	São Gotardo	São Vicente de Paula
Gold Telecom Ltda RP	10.822.045/0001-03	sgtelefonia2@gmail.com	3436712878	São Gotardo	São Vicente de Paula
Goldnet Permutas & Doações SG	09.193.011/0001-00	silviasouzamarques@hotmail.com	3488496383	São Gotardo	São Vicente
Goldnet Permutas / RP	09.193.011/0001-00	teste@teste.com.br	3436712878	São Gotardo	São Vicente de Paula
Gotardo Adm. Corretora de Seguros Ltda.	65.381.915/0001-30	gotardoseguros@gmail.com	3499890807	São Gotardo	Centro
Gotardo Argamassas Ltda - Argamassa Nova Cola SG	17.060.684/0001-10	odracir.pinto@hotmail.com	3499890106	São Gotardo	Agrovila
Grafica Triangulo Ltda SG	18.171.157/0001-45	graficatriangulo2324@hotmail.com	3436712324	São Gotardo	Centro
Grupo 2S Educacional LTDA - ME	29.257.637/0001-40	polosaogotardo@uninter.com	34998183632	São Gotardo	Centro
HD Veiculos SG	25.272.536/0001-97	hiagodias_sg@hotmail.com	3436714211	São Gotardo	São Vicente
Helio Lopes Alves ME	05.393.697/0001-21	heliodoonibus@hotmail.com	34999891081	São Gotardo	São Vicente
Hikaru Agro Servicos Agricolas Eireli	33.398.731/0001-96	Sem EMAIL	3436713163	São Gotardo	Zona Rural
Hotel Primavera Ltda	25.276.411/0001-35	teste@teste.com.br	3400000000	São Gotardo	Centro
Iara Ribeiro de Morais Silva ME	22.260.558/0001-49	papelariamec1986@hotmail.com	3436712363	São Gotardo	Centro
Igreja Evangelica Assembleia de Deus MT	20.055.240/0001-09	antonelly_silvas@hotmail.com	34088600961	São Gotardo	Centro
Igreja Evangélica Assembléia de Deus Missão	19.413.798/0012-84	paulogeovani1@live.com	34999400776	São Gotardo	Guarda dos Ferreiros
Igreja de Cristo Pentecostal Internacional	23.478.346/0001-03	osvaldodanielcontabil@yahoo.com.br	3436717842	São Gotardo	Guarda dos Ferreiros
Igreja de Cristo Pentecostal no Brasil SG	07.137.340/0001-08	osvaldodanielcontabil@yahoo.com.br	3436713312	São Gotardo	São Geraldo
Imaginarium Serviços Ltda ME	12.113.943/0001-00	jorgeitojp@yahoo.com.br	34999891280	São Gotardo	Centro
Impleagro	27.613.000/0001-13	impleagro@hotmail.com	34999062634	São Gotardo	Guarda dos Ferreiros
Instituto Pater de Educação e Cultura SG	21.289.889/0001-49	debora.rafaela@institutopater.edu.br	34999255800	São Gotardo	São Vicente
Instituto de Medicina e Diagnosticos Mauricio Rios Ltda SG	08.214.479/0016-57	financeiro@labcarloschagas.com.br	3436713054	São Gotardo	Centro
Inter São Gotardo SG	05.005.243/0001-36	saracristnaa4@hotmail.com	34991720055	São Gotardo	Centro
Irrigaminas LTDA - ME	10.515.230/0001-47	irrigaminasltda@hotmail.com	3436716506	São Gotardo	Guarda dos Ferreiros
Ivone Aparecida da Silva ME	11.471.822/0001-77	elimarpessoa75@hotmail.com	34999053480	São Gotardo	Geraldo Marques
JJG Contabilidade e Assessoria LTDA- ME	13.526.765/0001-01	denisa@jjg.com.br	3436712449	São Gotardo	Alto Bela Vista
JMC Eletric Ltda - ME	07.969.245/0001-70	jmcsuporte01@gmail.com	34991301800	São Gotardo	Centro
Jaqueline Florentino dos Santos	23.248.303/0001-23	jaquelineflorentinosg@gmail.com	34998410744	São Gotardo	Tancredo Neves
Jato Minas Ltda	41.672.817/0001-93	financeiro.jatominas@hotmail.com	34036716146	São Gotardo	Zona Rural
Jato Minas Ltda	41.672.817/0001-93	financeiro.jatominas@hotmail.com	3436716146	São Gotardo	Zona Rural
Joao Roberto Lopes	21.598.955/0001-62	escritoriodespachantesg@bol.com.br	34998221228	São Gotardo	Centro
Jose Geraldo Siqueira Coutinho ME	04.181.613/0001-23	boticario255@gmail.com	3436715880	São Gotardo	Centro
José Eustaquio Rodrigues de Araujo Eireli - ME	21.186.128/0001-61	financeiro.sg@sandiegohoteis.com.br	3436711865	São Gotardo	Centro
Juliana Rosa da Costa Silva GF	21.957.788/0001-07	teste@teste.com	34992119498	São Gotardo	Boa Esperança
Juliauto Diesel LTDA	02.313.621/0001-50	juliautodiesel@hotmail.com	3436711016	São Gotardo	Jardim das Flores
Julio Alberto Machado de Freitas	15.026.097/0001-89	jlmaquinaseassistencia@hotmail.com	3488857306	São Gotardo	Centro
Julio Cesar Mees GF	16.603.560/0001-70	adriana_bruna@hotmail.com	34987190303	São Gotardo	Agrovila
Julio Cesar Mees GF	16.603.560/0001-70	adriana_bruna@hotmail.com	34987190303	São Gotardo	Guarda dos Ferreiros
Junior Sander dos Santos 04370255600 ME ( SERASA)	12.646.533/0001-24	teste@teste.com	34998255711	São Gotardo	Mansões do Lago
Kamel Magazine SG	16.911.943/0004-59	kamel.saogotardo@lojaskamel.com.br	3436711800	São Gotardo	Centro
Kamillo's Calçados e Esportes	23.387.467/0001-31	kamilloscalcados@yahoo.com.br	3436712192	São Gotardo	Nossa Senhora de Fátima
Kansay Tintas Ltda	05.835.037/0001-53	casatintasg@hotmail.com	34988814687	São Gotardo	Jardim Ana Paula
LLE Consultoria e Contabilidade Ltda SG	15.287.684/0001-21	dirceu@llecontabilidade.com.br	3491361010	São Gotardo	Centro
Laboratorio Pio XII de Analises Clinicas	19.923.051/0001-13	saogotardolaboratorio@gmail.com	3436711820	São Gotardo	Centro
Laboratorio Vitacenter LTDA EPP	01.356.860/0001-25	Labvitacentersg@gmail.com	34999073597	São Gotardo	Centro
Laercio Bomtempo Hoteis LTDA	09.463.062/0001-04	danyellamenezes@hotmail.com	3436712387	São Gotardo	Nossa Senhora de Fátima
Laticínios Porto Alegre Indústria e Comércio Ltda.	66.301.334/0006-18	regina.marta@laticiniosportoalegre.com.br	3436712325	São Gotardo	Centro
Leandro Pires de Avila 09220120674	20.423.538/0001-16	avilaleandro479@gmail.com	34998397878	São Gotardo	Centro
Leopoldino e Silva Agronegócios LTDA-ME	22.475.742/0001-06	rafaela@procampogea.com.br	3436717442	São Gotardo	Santa Terezinha
Leticia de Fatima Braga Asai-ME	25.156.081/0001-44	francisyoshihiro@hotmail.com	34988380212	São Gotardo	Zona Rural
Lider Motopeças e Oficina Ltda	13.189.247/0001-40	motepecaslider@hotmail.com	3436712865	São Gotardo	São Vicente
Lopes e Franco Eletrodomésticos Ltda.	30.269.465/0001-03	eletroricco@hotmail.com	3436717230	São Gotardo	Nossa Senhora de Fátima
Loteria São Gotardo	17.837.550/0001-62	lydston_00@hotmail.com	3436711658	São Gotardo	Centro
Lucas Henrique Silva Alves	29.827.293/0001-67	Sem EMAIL	3499898955	São Gotardo	Centro
Lucas Pires de Avila 10104553626	22.302.158/0001-59	autosocorrolucas24horas@hotmail.com	34998397878	São Gotardo	Nossa Senhora de Fátima
Lucimar Eliane de Carvalho	27.549.352/0001-57	andressa-stefania@hotmail.com	3436712321	São Gotardo	Centro
Luiz Carlos de Freitas	13.352.404/0001-96	cruzeironathan@hotmail.com	3436715090	São Gotardo	Nossa Senhora de Fátima
MDPM Paroquia Santa Cruz	17.832.866/0046-63	paroquiasantacruz.2013@live.com	34999132627	São Gotardo	Guarda dos Ferreiros
MR Consultoria e Gestão SG (SPC/SERASA)	16.810.245/0001-14	mrconsultoriaegestao@gmail.com	34999292130	São Gotardo	Alvorada
MSX Construtora e Incorporadora	12.587.961/0001-23	compras@msx-ci.com.br	3175248000	São Gotardo	Liberdade
Maciel e Maciel Transportes Rodoviarios  LTDA	12.210.553/0001-58	maciel.macieltransportes@gmail.com	47997037378	São Gotardo	Guarda dos Ferreiros
Madeireira Lopes	22.208.292/0001-95	madeireiralopes2009@yahoo.com.br	34999289444	São Gotardo	Nossa Senhora de Fátima
Madeireira Nativa GF	03.215.360/0001-07	madeireiranativa01@hotmail.com	34999784706	São Gotardo	Guarda dos Ferreiros
Madeireira Nativa LTDA	03.215.360/0005-22	madeireiranativa01@hotmail.com	34999784706	São Gotardo	Guarda dos Ferreiros
Madeireira São Gotardo Ltda.	01.409.665/0001-16	madeireirasaogotardo@gmail.com	3436712340	São Gotardo	Campestre
Magazine Souza LTDA	23.385.495/0001-10	magazinesouzasg@hotmail.com	3436711750	São Gotardo	Centro
Maqnelson Participaçoes Eireli	16.823.130/0001-64	vilsonsantos@conel.com.br	3432368600	São Gotardo	Jardim das Flores
Marcelo Marques De Oliveira 07675972651	27.965.718/0001-79	mmoordenhas@gmail.com	34999079790	São Gotardo	Nossa Senhora de Fátima
Marcio Aurelio Ferreira Pessoa	27.868.184/0001-62	pessoa_iturama@hotmail.com	34999884398	São Gotardo	Centro
Marcus Vinicius Batista Barbosa	16.807.545/0001-44	arteshowsg@hotmail.com	34999682368	São Gotardo	Centro
Maria Eduarda Garcia de Lima Rodrigues	27.557.217/0001-53	teste@teste.com.br	34998247413	São Gotardo	Centro
Maria Eduarda Garcia de Lima Rodrigues	27.557.217/0001-53	teste@teste.com.br	3436716407	São Gotardo	Guarda dos Ferreiros
Maria Luisa Correa Silva ME	32.336.484/0001-30	malu.silvasg@gmail.com	34998064808	São Gotardo	Centro
Marshmallow Store	01.391.247/0001-49	administrativo@mswstore.com.br	3436717550	São Gotardo	Centro
Maruki e Pereira Ltda	05.727.861/0001-90	saude.oralsg@hotmail.com	3436713495	São Gotardo	Centro
Matheus Justino de Melo 11309041644	28.628.441/0001-51	automaqsg@hotmail.com	34998370968	São Gotardo	Zona Rural
Mauricio Soares	11.621.103/0001-95	alinesoares.soares@yahoo.com	3436711346	São Gotardo	Agro Industrial Chapadao
Megacopy LTDA ME SG	17.592.091/0001-02	teste@teste.com.br	3492892370	São Gotardo	Nossa Senhora de Fátima
MercadoLivre.com Atividades de Internet ltda.	03.361.252/0001-34	Sem EMAIL	00000000000	São Gotardo	Alto Bela Vista
Mercearia Gramari LTDA	12.454.191/0001-40	merceariagramari@hotmail.com	3436713515	São Gotardo	Alto Bela Vista
Mercearia São Vicente	00.679.751/0001-86	teste@teste.com.br	34000000000	São Gotardo	São Vicente
Mesquita e Borges LTDA	05.459.230/0001-37	oticascarolsaogotardo@gmail.com	3436713812	São Gotardo	Centro
Michelli Eletromoveis LTDA	04.658.824/0001-04	michellieletro@yahoo.com.br	34999192350	São Gotardo	Nossa Senhora de Fátima
Minas Diesel GF	28.150.504/0001-07	minasdieselsg@gmail.com	34988405921	São Gotardo	Guarda dos Ferreiros
Minas Total Hortifruti Ltda	20.949.387/0001-34	alhoimperador01@gmail.com	34999219030	São Gotardo	Zona Rural
Mine Mercado Ideal Cestas e Cia	25.010.532/0001-30	nathy_rtrenata@hotmail.com	34999504766	São Gotardo	Guarda dos Ferreiros
Mitra Diocesana de Patos de Minas - Paroquia N. Srª Aparecida SG	17.832.866/0042-30	paroquia-nsaparecida@hotmail.com	3436712359	São Gotardo	Nossa Senhora de Fátima
Molas Barbosa ME	04.267.725/0001-00	leomarcosbarbosa@gmail.com	34991946170	São Gotardo	Guarda dos Ferreiros
Molas Barbosa e Rodrigues Ltda.	28.940.763/0001-31	marcia29rodrigues@hotmail.com	3436716103	São Gotardo	Zona Rural
Mon Cherry Comércio Varejista de Artigos do Vestuário LTDA	33.078.838/0001-57	moncherrysg@outlook.com	34999234903	São Gotardo	Centro
Moria Palace Hotel LTDA	20.912.720/0001-30	elen.ribeiro@bol.com.br	3436716139	São Gotardo	Guarda dos Ferreiros
Multi Soluções LTDA	26.647.690/0001-69	keniawhite@hotmail.com	34999029064	São Gotardo	Guarda dos Ferreiros
Multi Soluções LTDA - GF	26.647.690/0001-69	multisolucoesltda_@hotmail.com	3436716795	São Gotardo	Guarda dos Ferreiros
Multimarcas Veiculos Ltda.SG	10.832.647/0001-33	multimarcasveiculosnet@hotmail.com	34000000000	São Gotardo	Centro
NS Metais	28.516.040/0001-00	nsmetaisjp@gmail.com	3436717977	São Gotardo	Guarda dos Ferreiros
Nativa Agronegocios e Representaçaoes LTDA	03.856.216/0007-37	daniele.fernanda@nativagro.com.br	3438267400	São Gotardo	Santa Terezinha
Neir José Alves ME SG	04.258.832/0001-63	teste@teste.com	3484129344	São Gotardo	Geraldo Marques
Neliane Maria Gontijo 06375097657	21.551.192/0001-02	nellyscloset@outlook.com	34988092222	São Gotardo	Centro
